game_id,video_id,exposure_zone,exposure_time_seconds,avg_area_pct,avg_dist_ref_pct,video_url
22500410,cUy4wKukjvI,side-court-logo,477.4,0.9886,29.21,https://www.youtube.com/watch?v=cUy4wKukjvI
22500410,cUy4wKukjvI,side-court-led-logo,345.0,2.1015,31.38,https://www.youtube.com/watch?v=cUy4wKukjvI
22500410,cUy4wKukjvI,back-court-logo,445.4,2.2878,25.56,https://www.youtube.com/watch?v=cUy4wKukjvI
22500410,cUy4wKukjvI,mid-court-logo,366.0,2.2255,31.1,https://www.youtube.com/watch?v=cUy4wKukjvI
22500410,cUy4wKukjvI,basket-logo,432.8,0.26,34.51,https://www.youtube.com/watch?v=cUy4wKukjvI
22500410,jtK01l2U2Qw,side-court-logo,481.6,1.0082,29.19,https://www.youtube.com/watch?v=jtK01l2U2Qw
22500410,jtK01l2U2Qw,mid-court-logo,362.0,2.4121,30.48,https://www.youtube.com/watch?v=jtK01l2U2Qw
22500410,jtK01l2U2Qw,back-court-logo,455.6,2.3069,25.74,https://www.youtube.com/watch?v=jtK01l2U2Qw
22500410,jtK01l2U2Qw,side-court-led-logo,339.6,2.08,30.99,https://www.youtube.com/watch?v=jtK01l2U2Qw
22500410,jtK01l2U2Qw,basket-logo,445.0,0.267,35.21,https://www.youtube.com/watch?v=jtK01l2U2Qw
22500013,KgXiqNun_KI,side-court-led-logo,547.15,0.8705,28.38,https://www.youtube.com/watch?v=KgXiqNun_KI
22500013,KgXiqNun_KI,basket-logo,518.92,0.1793,33.45,https://www.youtube.com/watch?v=KgXiqNun_KI
22500013,KgXiqNun_KI,mid-court-logo,514.71,0.9621,31.83,https://www.youtube.com/watch?v=KgXiqNun_KI
22500013,KgXiqNun_KI,back-court-logo,513.71,1.4776,22.29,https://www.youtube.com/watch?v=KgXiqNun_KI
22500013,KgXiqNun_KI,side-court-logo,497.1,0.4032,27.32,https://www.youtube.com/watch?v=KgXiqNun_KI
22500013,8oQ1EaD6ug0,basket-logo,593.59,0.1716,35.0,https://www.youtube.com/watch?v=8oQ1EaD6ug0
22500013,8oQ1EaD6ug0,side-court-led-logo,623.22,0.9277,27.44,https://www.youtube.com/watch?v=8oQ1EaD6ug0
22500013,8oQ1EaD6ug0,back-court-logo,593.79,1.5117,23.78,https://www.youtube.com/watch?v=8oQ1EaD6ug0
22500013,8oQ1EaD6ug0,mid-court-logo,598.2,0.9856,31.11,https://www.youtube.com/watch?v=8oQ1EaD6ug0
22500013,8oQ1EaD6ug0,side-court-logo,590.99,0.4181,26.48,https://www.youtube.com/watch?v=8oQ1EaD6ug0
22500013,B_5nnp0xaIY,side-court-led-logo,499.4,0.9473,28.38,https://www.youtube.com/watch?v=B_5nnp0xaIY
22500013,B_5nnp0xaIY,basket-logo,469.8,0.1757,34.38,https://www.youtube.com/watch?v=B_5nnp0xaIY
22500013,B_5nnp0xaIY,back-court-logo,477.6,1.4735,24.15,https://www.youtube.com/watch?v=B_5nnp0xaIY
22500013,B_5nnp0xaIY,mid-court-logo,476.0,0.9352,31.36,https://www.youtube.com/watch?v=B_5nnp0xaIY
22500013,B_5nnp0xaIY,side-court-logo,475.4,0.3849,27.58,https://www.youtube.com/watch?v=B_5nnp0xaIY
22500411,WO0iQ6Dfouc,basket-logo,471.07,0.2009,35.45,https://www.youtube.com/watch?v=WO0iQ6Dfouc
22500411,WO0iQ6Dfouc,side-court-led-logo,499.1,1.1014,26.18,https://www.youtube.com/watch?v=WO0iQ6Dfouc
22500411,WO0iQ6Dfouc,mid-court-logo,436.24,1.2471,31.13,https://www.youtube.com/watch?v=WO0iQ6Dfouc
22500411,WO0iQ6Dfouc,back-court-logo,466.27,1.3339,23.41,https://www.youtube.com/watch?v=WO0iQ6Dfouc
22500411,WO0iQ6Dfouc,side-court-logo,489.09,1.0322,24.5,https://www.youtube.com/watch?v=WO0iQ6Dfouc
22500411,EdN9AIwJ8zI,side-court-led-logo,486.2,1.0958,26.3,https://www.youtube.com/watch?v=EdN9AIwJ8zI
22500411,EdN9AIwJ8zI,back-court-logo,471.4,1.3666,23.42,https://www.youtube.com/watch?v=EdN9AIwJ8zI
22500411,EdN9AIwJ8zI,basket-logo,466.6,0.209,35.69,https://www.youtube.com/watch?v=EdN9AIwJ8zI
22500411,EdN9AIwJ8zI,mid-court-logo,435.4,1.2727,32.34,https://www.youtube.com/watch?v=EdN9AIwJ8zI
22500411,EdN9AIwJ8zI,side-court-logo,487.8,1.0602,24.37,https://www.youtube.com/watch?v=EdN9AIwJ8zI
22500411,F7DtAYIL8f4,basket-logo,470.0,0.2075,36.04,https://www.youtube.com/watch?v=F7DtAYIL8f4
22500411,F7DtAYIL8f4,side-court-led-logo,494.8,1.0687,26.04,https://www.youtube.com/watch?v=F7DtAYIL8f4
22500411,F7DtAYIL8f4,mid-court-logo,435.6,1.2742,30.7,https://www.youtube.com/watch?v=F7DtAYIL8f4
22500411,F7DtAYIL8f4,back-court-logo,465.2,1.3462,23.85,https://www.youtube.com/watch?v=F7DtAYIL8f4
22500411,F7DtAYIL8f4,side-court-logo,482.4,1.0481,24.16,https://www.youtube.com/watch?v=F7DtAYIL8f4
22500422,FpSCz-UG7_Y,basket-logo,481.28,0.1357,35.19,https://www.youtube.com/watch?v=FpSCz-UG7_Y
22500422,FpSCz-UG7_Y,side-court-led-logo,384.98,0.7567,33.55,https://www.youtube.com/watch?v=FpSCz-UG7_Y
22500422,FpSCz-UG7_Y,mid-court-logo,508.91,1.682,30.58,https://www.youtube.com/watch?v=FpSCz-UG7_Y
22500422,FpSCz-UG7_Y,back-court-logo,491.49,1.2335,24.12,https://www.youtube.com/watch?v=FpSCz-UG7_Y
22500422,FpSCz-UG7_Y,side-court-logo,491.89,0.2933,22.59,https://www.youtube.com/watch?v=FpSCz-UG7_Y
22500422,h8NYKAt5BVA,side-court-led-logo,383.2,0.7248,34.3,https://www.youtube.com/watch?v=h8NYKAt5BVA
22500422,h8NYKAt5BVA,basket-logo,531.4,0.136,33.64,https://www.youtube.com/watch?v=h8NYKAt5BVA
22500422,h8NYKAt5BVA,mid-court-logo,557.0,1.8041,31.48,https://www.youtube.com/watch?v=h8NYKAt5BVA
22500422,h8NYKAt5BVA,back-court-logo,539.6,1.215,22.46,https://www.youtube.com/watch?v=h8NYKAt5BVA
22500422,h8NYKAt5BVA,side-court-logo,539.2,0.2903,22.88,https://www.youtube.com/watch?v=h8NYKAt5BVA
