game_id,title,url,video_id,channel,duration,view_count,like_count,comment_count
22500040,"Brooklyn Nets vs Orlando Magic Full Game Highlights - November 14, 2025 | NBA Season",https://www.youtube.com/watch?v=sXwiGPLS_tk,sXwiGPLS_tk,GAMETIME HIGHLIGHTS,583,42354,472,32.0
22500040,Brooklyn Nets vs Orlando Magic | Full Game Highlights | November 14 | 2025-26 NBA Season,https://www.youtube.com/watch?v=JXkh-x1ZrpA,JXkh-x1ZrpA,The CCB Network,610,2451,38,
22500260,"Denver Nuggets vs New Orleans Pelicans Full Game Highlights - November 19, 2025 | NBA Season",https://www.youtube.com/watch?v=edrh9LZPyN8,edrh9LZPyN8,GAMETIME HIGHLIGHTS,560,149373,1131,73.0
22500260,"Denver Nuggets vs New Orleans Pelicans Full Game Highlights | Nov 19, 2025 | FreeDawkins",https://www.youtube.com/watch?v=1dkbSObn0sE,1dkbSObn0sE,FreeDawkins,615,16137,407,25.0
22500260,"Denver Nuggets vs New Orleans Pelicans - FULL GAME HIGHLIGHTS | November 19, 2025 NBA Season",https://www.youtube.com/watch?v=kVAFe_jAiV4,kVAFe_jAiV4,Ximo Pierto,579,4158,85,14.0
22500260,Denver Nuggets vs New Orleans Pelicans | Full Game Highlights | November 19 | 2025-26 NBA Season,https://www.youtube.com/watch?v=3CQdCRBwwFg,3CQdCRBwwFg,The CCB Network,597,10864,121,4.0
22500260,"Denver Nuggets vs New Orleans Pelicans Full Game Highlights - November 19, 2025 | NBA Season",https://www.youtube.com/watch?v=dUzBgQOvIYY,dUzBgQOvIYY,Swish NBA,560,4953,36,1.0
22500054,"Houston Rockets vs Denver Nuggets Full Game Highlights - November 21, 2025 | NBA Season",https://www.youtube.com/watch?v=9hY_4aHdoOw,9hY_4aHdoOw,GAMETIME HIGHLIGHTS,576,440133,3287,514.0
22500054,"Houston Rockets vs Denver Nuggets Full Game Highlights | Nov 21, 2025 | FreeDawkins",https://www.youtube.com/watch?v=bP1Vzlq5AaA,bP1Vzlq5AaA,,652,48692,1202,99.0
22500054,Houston Rockets vs Denver Nuggets | Full Game Highlights | November 21 | 2025-26 NBA Season,https://www.youtube.com/watch?v=chxI3OVlpKQ,chxI3OVlpKQ,The CCB Network,631,12887,182,8.0
